"Data","Ostatnio","Otwarcie","Max.","Min.","Zmiana%"
"Gru. '12","4,020","4,150","4,110","4,070","-6,73%"
"Lis. '12","4,310","4,540","4,400","4,490","-4,22%"
"Paź. '12","4,500","4,900","4,610","4,600","2,27%"
"Wrz. '12","4,400","5,000","4,770","4,600","-7,37%"
"Sie. '12","4,750","4,770","4,850","4,760","2,15%"
"Lip. '12","4,650","5,150","4,900","4,760","-2,52%"
"Cze. '12","4,770","4,800","4,890","4,750","-4,60%"
"Maj '12","5,000","4,600","4,700","4,750","5,26%"
"Kwi. '12","4,750","4,500","4,720","4,450","2,15%"
"Mar. '12","4,650","4,630","4,680","4,450","-3,13%"
"Luty '12","4,800","4,650","4,720","4,450","0,00%"
"Sty. '12","4,800","4,680","4,750","4,540","-1,03%"
"Gru. '11","4,850","4,580","4,750","4,600","2,11%"
"Lis. '11","4,750","4,550","4,670","4,530","0,00%"
"Paź. '11","4,750","4,500","4,580","4,500","1,93%"
"Wrz. '11","4,660","4,450","4,560","4,450","0,22%"
"Sie. '11","4,650","4,430","4,520","4,440","0,65%"
"Lip. '11","4,620","4,460","4,500","4,440","-0,86%"
"Cze. '11","4,660","4,230","4,250","4,400","5,67%"
"Maj '11","4,410","3,990","4,050","4,150","0,23%"
"Kwi. '11","4,400","3,950","3,950","3,920","8,64%"
"Mar. '11","4,050","3,830","3,920","3,750","3,05%"
"Luty '11","3,930","3,810","3,800","3,720","-1,50%"
"Sty. '11","3,990","3,650","3,650","3,680","5,00%"
"Gru. '10","3,800","3,590","3,620","3,510","1,33%"
"Lis. '10","3,750","3,610","3,600","3,400","0,00%"
"Paź. '10","3,750","3,620","3,550","3,450","1,08%"
"Wrz. '10","3,710","3,570","3,570","3,450","-1,07%"
"Sie. '10","3,750","3,520","3,550","3,450","2,18%"
"Lip. '10","3,670","3,590","3,570","3,450","-1,08%"
"Cze. '10","3,710","3,590","3,600","3,460","-0,54%"
"Maj '10","3,730","3,610","3,620","3,450","-2,10%"
"Kwi. '10","3,810","3,660","3,650","3,450","-4,99%"
"Mar. '10","4,010","3,620","3,800","3,460","4,16%"
"Luty '10","3,850","3,620","3,800","3,600","-2,53%"
"Sty. '10","3,950","3,900","3,860","3,510","3,95%"
"Gru. '09","3,800","3,510","3,750","3,560","2,70%"
"Lis. '09","3,700","3,650","3,750","3,450","-2,63%"
"Paź. '09","3,800","3,710","3,740","3,400","-2,56%"
"Wrz. '09","3,900","3,680","3,700","3,500","1,30%"
"Sie. '09","3,850","3,650","3,750","3,500","0,00%"
"Lip. '09","3,850","3,970","3,750","3,650","-2,53%"
"Cze. '09","3,950","4,250","4,100","3,870","-2,47%"
"Maj '09","4,050","3,970","4,050","3,850","1,25%"
"Kwi. '09","4,000","3,810","3,900","3,600","1,27%"
"Mar. '09","3,950","4,110","3,900","4,090","-10,23%"
"Luty '09","4,400","4,500","4,360","4,260","-6,58%"
"Sty. '09","4,710","5,410","4,710","5,390","-16,64%"
"Gru. '08","5,650","6,160","5,600","6,120","-11,16%"
"Lis. '08","6,360","6,500","6,360","6,350","-3,64%"
"Paź. '08","6,600","6,320","6,480","6,340","1,54%"
