"Data","Ostatnio","Otwarcie","Max.","Min.","Zmiana%"
"Sie. '12","4,325","4,422","4,635","4,268","-2,22%"
"Lip. '12","4,423","4,734","4,805","4,389","-6,39%"
"Cze. '12","4,725","5,059","5,059","4,725","-6,10%"
"Maj '12","5,032","4,870","5,207","4,728","3,16%"
"Kwi. '12","4,878","4,931","5,110","4,847","-1,18%"
"Mar. '12","4,936","4,911","5,016","4,756","0,65%"
"Luty '12","4,904","5,016","5,237","4,879","-2,49%"
"Sty. '12","5,029","5,356","5,444","4,968","-5,89%"
"Gru. '11","5,344","5,265","5,488","5,104","1,71%"
"Lis. '11","5,254","5,098","5,690","4,973","3,77%"
"Paź. '11","5,063","5,323","5,349","4,949","-4,38%"
"Wrz. '11","5,295","5,008","5,498","4,806","6,30%"
"Sie. '11","4,981","5,260","5,424","4,969","-5,79%"
"Lip. '11","5,287","5,338","5,531","5,247","-1,29%"
"Cze. '11","5,356","5,609","5,620","5,299","-4,07%"
"Maj '11","5,583","5,772","5,772","5,571","-3,27%"
"Kwi. '11","5,772","5,930","5,931","5,707","-0,45%"
"Mar. '11","5,798","5,913","5,948","5,769","-0,75%"
"Luty '11","5,842","5,914","5,930","5,749","-1,20%"
"Sty. '11","5,913","5,506","5,958","5,506","7,18%"
"Gru. '10","5,517","5,526","5,575","5,410","-0,16%"
"Lis. '10","5,526","5,327","5,639","5,327","3,37%"
"Paź. '10","5,346","5,064","5,396","4,839","5,65%"
"Wrz. '10","5,060","5,170","5,330","5,037","-2,13%"
"Sie. '10","5,170","5,395","5,490","4,941","-4,17%"
"Lip. '10","5,395","5,383","5,494","5,228","-0,28%"
"Cze. '10","5,410","5,319","5,616","5,233","2,08%"
"Maj '10","5,300","5,182","5,515","5,128","3,01%"
"Kwi. '10","5,145","5,151","5,278","4,957","0,21%"
"Mar. '10","5,134","5,462","5,610","5,101","-7,04%"
"Luty '10","5,523","5,555","5,644","5,441","-1,30%"
"Sty. '10","5,596","5,900","5,969","5,494","-5,33%"
"Gru. '09","5,911","5,661","5,943","5,609","4,47%"
"Lis. '09","5,658","5,700","5,745","5,589","-0,30%"
"Paź. '09","5,675","5,730","5,825","5,509","-1,01%"
"Wrz. '09","5,733","5,669","5,945","5,591","1,90%"
"Sie. '09","5,626","5,447","5,704","5,367","3,46%"
"Lip. '09","5,438","5,803","5,825","5,406","-6,10%"
"Cze. '09","5,791","5,831","5,952","5,756","-0,02%"
"Maj '09","5,792","5,794","6,036","5,790","0,05%"
"Kwi. '09","5,789","6,077","6,077","5,780","-4,11%"
"Mar. '09","6,037","5,893","6,221","5,812","2,81%"
"Luty '09","5,872","5,080","6,042","5,021","15,34%"
"Sty. '09","5,091","5,414","5,414","4,808","-4,57%"
"Gru. '08","5,335","5,756","5,904","5,312","-8,11%"
"Lis. '08","5,806","6,864","6,884","5,723","-15,20%"
"Paź. '08","6,847","6,030","7,920","5,910","12,95%"
