"Data","Ostatnio","Otwarcie","Max.","Min.","Zmiana%"
"Lis. '12","3,393","3,874","4,399","2,960","-12,71%"
"Paź. '12","3,887","4,052","4,646","3,348","-4,07%"
"Wrz. '12","4,052","4,085","4,716","3,770","-0,47%"
"Sie. '12","4,071","4,208","4,724","3,608","-3,12%"
"Lip. '12","4,202","4,639","4,666","4,102","-9,96%"
"Cze. '12","4,667","4,808","5,080","4,616","-3,05%"
"Maj '12","4,814","4,687","4,910","4,615","2,34%"
"Kwi. '12","4,704","4,592","5,234","4,581","2,17%"
"Mar. '12","4,604","4,671","4,706","4,497","-1,52%"
"Luty '12","4,675","4,721","4,748","4,619","-0,34%"
"Sty. '12","4,691","4,847","4,918","4,656","-3,66%"
"Gru. '11","4,869","4,933","5,039","4,821","-0,47%"
"Lis. '11","4,892","4,683","5,192","4,570","5,18%"
"Paź. '11","4,651","4,493","4,913","4,404","3,75%"
"Wrz. '11","4,483","4,432","4,583","4,303","0,49%"
"Sie. '11","4,461","4,657","4,687","4,379","-5,02%"
"Lip. '11","4,697","4,865","4,989","4,564","-3,33%"
"Cze. '11","4,859","5,041","5,074","4,784","-2,96%"
"Maj '11","5,007","5,042","5,332","4,812","0,12%"
"Kwi. '11","5,001","5,054","5,210","4,939","-0,54%"
"Mar. '11","5,028","5,184","5,342","4,974","-0,89%"
"Luty '11","5,073","5,030","5,192","4,932","1,00%"
"Sty. '11","5,023","4,830","5,147","4,781","4,60%"
"Gru. '10","4,802","4,871","4,928","4,648","-1,29%"
"Lis. '10","4,865","4,740","5,009","4,740","2,81%"
"Paź. '10","4,732","4,899","5,086","4,591","0,53%"
"Wrz. '10","4,707","4,688","4,892","4,606","0,53%"
"Sie. '10","4,682","4,729","4,967","4,513","-0,99%"
"Lip. '10","4,729","4,850","5,037","4,674","-2,45%"
"Cze. '10","4,848","4,694","5,179","4,563","3,86%"
"Maj '10","4,668","4,643","4,976","4,483","2,21%"
"Kwi. '10","4,567","4,574","4,694","4,371","0,79%"
"Mar. '10","4,531","4,932","5,140","4,526","-9,13%"
"Luty '10","4,986","4,957","5,109","4,864","-0,08%"
"Sty. '10","4,990","5,206","5,226","4,895","-3,78%"
"Gru. '09","5,186","5,104","5,277","5,071","1,09%"
"Lis. '09","5,130","5,069","5,179","4,878","2,58%"
"Paź. '09","5,001","5,135","5,265","4,927","-2,08%"
"Wrz. '09","5,107","5,110","5,304","5,019","0,06%"
"Sie. '09","5,104","4,965","5,154","4,862","0,95%"
"Lip. '09","5,056","5,439","5,510","4,936","-7,11%"
"Cze. '09","5,443","5,527","5,642","5,187","-1,23%"
"Maj '09","5,511","5,515","5,867","5,450","-0,13%"
"Kwi. '09","5,518","5,639","5,686","5,359","-1,94%"
"Mar. '09","5,627","5,671","5,902","5,395","-0,65%"
"Luty '09","5,664","4,858","6,139","4,720","19,07%"
"Sty. '09","4,757","5,466","5,510","4,590","-10,70%"
"Gru. '08","5,327","5,844","6,093","5,327","-10,00%"
"Lis. '08","5,919","6,949","7,061","5,799","-13,29%"
"Paź. '08","6,826","6,492","7,870","6,079","5,21%"
