"Data","Ostatnio","Otwarcie","Max.","Min.","Zmiana%"
"Gru. '13","3,872","4,017","4,078","3,708","-2,86%"
"Lis. '13","3,986","3,793","4,094","3,687","7,61%"
"Paź. '13","3,704","4,092","4,120","3,591","-10,03%"
"Wrz. '13","4,117","4,068","4,667","3,826","1,60%"
"Sie. '13","4,052","3,596","4,165","3,592","11,41%"
"Lip. '13","3,637","3,874","3,939","3,350","-6,12%"
"Cze. '13","3,874","3,247","4,242","3,132","19,05%"
"Maj '13","3,254","2,886","3,279","2,630","12,21%"
"Kwi. '13","2,900","3,564","3,566","2,677","-18,38%"
"Mar. '13","3,553","3,731","3,928","3,058","-5,28%"
"Luty '13","3,751","3,694","3,841","3,621","6,26%"
"Sty. '13","3,530","3,320","4,047","3,231","6,33%"
"Gru. '12","3,320","3,681","3,841","3,229","-17,27%"
"Lis. '12","4,013","4,142","4,180","3,932","-2,88%"
"Paź. '12","4,132","4,214","4,785","3,852","-2,46%"
"Wrz. '12","4,236","4,367","4,619","3,937","-3,40%"
"Sie. '12","4,385","4,473","4,932","4,097","-4,28%"
"Lip. '12","4,581","4,785","4,827","4,187","-4,30%"
"Cze. '12","4,787","5,081","5,109","4,562","-6,14%"
"Maj '12","5,100","4,924","5,140","4,850","3,57%"
"Kwi. '12","4,924","5,001","5,175","4,887","-1,91%"
"Mar. '12","5,020","5,013","5,073","4,841","-1,22%"
"Luty '12","5,082","5,113","5,326","4,948","-3,05%"
"Sty. '12","5,242","5,503","5,659","4,979","-4,45%"
"Gru. '11","5,486","5,524","5,750","5,277","0,09%"
"Lis. '11","5,481","5,279","5,920","5,141","4,70%"
"Paź. '11","5,235","5,569","5,636","5,081","-5,49%"
"Wrz. '11","5,539","5,284","5,798","5,063","5,97%"
"Sie. '11","5,227","5,453","5,596","5,178","-4,23%"
"Lip. '11","5,458","5,472","5,654","5,407","-1,18%"
"Cze. '11","5,523","5,756","5,764","5,416","-3,88%"
"Maj '11","5,746","5,860","5,900","5,709","-1,93%"
"Kwi. '11","5,859","5,956","5,961","5,786","-1,15%"
"Mar. '11","5,927","5,952","6,065","5,879","0,22%"
"Luty '11","5,914","6,020","6,120","5,879","-1,76%"
"Sty. '11","6,020","5,720","6,089","5,641","5,39%"
"Gru. '10","5,712","5,733","5,767","5,612","-0,83%"
"Lis. '10","5,760","5,432","5,940","5,417","5,42%"
"Paź. '10","5,464","5,314","5,539","5,110","3,07%"
"Wrz. '10","5,301","5,311","5,497","5,266","-0,19%"
"Sie. '10","5,311","5,590","5,635","5,145","-4,99%"
"Lip. '10","5,590","5,656","5,711","5,468","-1,34%"
"Cze. '10","5,666","5,606","5,828","5,527","1,36%"
