"Data","Ostatnio","Otwarcie","Max.","Min.","Zmiana%"
"Gru. '12","3,155","3,460","3,562","3,100","-9,62%"
"Lis. '12","3,491","4,057","4,057","3,415","-13,91%"
"Paź. '12","4,055","4,164","4,545","3,790","-2,12%"
"Wrz. '12","4,143","4,201","4,410","3,832","-3,36%"
"Sie. '12","4,287","4,377","4,576","4,137","-7,17%"
"Lip. '12","4,618","4,719","4,985","4,125","-3,04%"
"Cze. '12","4,763","4,968","4,991","4,450","-4,28%"
"Maj '12","4,976","4,729","5,023","4,636","5,27%"
"Kwi. '12","4,727","4,746","4,955","4,686","-0,92%"
"Mar. '12","4,771","4,786","4,849","4,627","-1,34%"
"Luty '12","4,836","4,848","5,030","4,749","-2,81%"
"Sty. '12","4,976","5,132","5,276","4,819","-3,06%"
"Gru. '11","5,133","5,139","5,490","5,028","0,51%"
"Lis. '11","5,107","4,952","5,516","4,795","3,99%"
"Paź. '11","4,911","5,065","5,202","4,838","-2,07%"
"Wrz. '11","5,015","4,847","5,215","4,526","5,11%"
"Sie. '11","4,771","5,100","5,180","4,754","-6,56%"
"Lip. '11","5,106","5,174","5,358","4,971","-2,43%"
"Cze. '11","5,233","5,432","5,438","5,107","-3,40%"
"Maj '11","5,417","5,628","5,756","5,400","-2,87%"
"Kwi. '11","5,577","5,750","5,755","5,488","-1,10%"
"Mar. '11","5,639","5,742","5,825","5,603","-0,77%"
"Luty '11","5,683","5,725","5,806","5,563","-0,65%"
"Sty. '11","5,720","5,253","5,799","5,253","7,06%"
"Gru. '10","5,343","5,423","5,452","5,253","-1,48%"
"Lis. '10","5,423","5,260","5,556","5,184","3,10%"
"Paź. '10","5,260","5,106","5,319","4,863","6,16%"
"Wrz. '10","4,955","5,106","5,229","4,934","-2,96%"
"Sie. '10","5,106","5,138","5,212","4,843","-0,62%"
"Lip. '10","5,138","5,248","5,330","5,085","-2,23%"
"Cze. '10","5,255","5,100","5,399","5,035","3,49%"
"Maj '10","5,078","5,008","5,415","4,927","1,40%"
"Kwi. '10","5,008","5,028","5,146","4,806","0,06%"
"Mar. '10","5,005","5,251","5,331","4,951","-5,99%"
"Luty '10","5,324","5,335","5,414","5,224","-0,15%"
"Sty. '10","5,332","5,676","5,714","5,241","-6,37%"
"Gru. '09","5,695","5,440","5,749","5,384","4,63%"
"Lis. '09","5,443","5,247","5,500","5,158","4,33%"
"Paź. '09","5,217","5,366","5,443","5,055","-2,79%"
"Wrz. '09","5,367","5,395","5,553","5,265","0,58%"
"Sie. '09","5,336","5,197","5,470","5,043","3,15%"
"Lip. '09","5,173","5,563","5,638","5,109","-7,11%"
"Cze. '09","5,569","5,790","5,790","5,518","-1,90%"
"Maj '09","5,677","5,699","5,970","5,615","-0,33%"
"Kwi. '09","5,696","5,843","5,907","5,614","-3,13%"
"Mar. '09","5,880","5,904","6,065","5,612","-0,39%"
"Luty '09","5,903","5,048","6,178","4,941","18,13%"
"Sty. '09","4,997","5,312","5,365","4,693","-4,78%"
"Gru. '08","5,248","5,826","5,984","5,137","-10,49%"
"Lis. '08","5,863","6,908","6,943","5,785","-15,36%"
"Paź. '08","6,927","6,067","7,956","5,918","13,15%"
