Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2017-11-30,1.83,1.83,1.83,1.83
2017-12-29,1.83,1.83,1.82,1.82
2018-01-31,1.82,1.82,1.82,1.82
2018-02-28,1.82,1.82,1.82,1.82
2018-03-30,1.82,1.82,1.79,1.79
2018-04-30,1.79,1.79,1.79,1.79
2018-05-31,1.79,1.79,1.79,1.79
2018-06-29,1.79,1.79,1.79,1.79
2018-07-31,1.79,1.79,1.79,1.79
2018-08-31,1.79,1.82,1.79,1.82
2018-09-28,1.82,1.82,1.82,1.82
2018-10-31,1.82,1.82,1.82,1.82
2018-11-30,1.82,1.82,1.82,1.82
